Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
STAGE 1 — WEEKLY OFF + BLACKOUT RULE,,,,,,,,,
Leave,DB,StaffProfile.weekly_off_day field,DB,"Number 1=Mon..4=Thu; default 1; validator rejects 0/5/6 (Sun/Fri/Sat).",Not Started,Arnav,Critical,Leave Stage 1,Replace frontend-only Sunday weekly-off assumption.
Leave,Backend,constants/leaveConstants.js,Backend,"BLACKOUT_DAYS=[5,6,0]; ALLOWED_DAYS=[1,2,3,4]; isBlackoutDate(dateObj).",Not Started,Arnav,Critical,Leave Stage 1,Single source of truth — import everywhere.
Leave,Test,Reject weekly_off_day=5; accept=2,Test,Model validator rejects Fri; accepts Tue.,Not Started,Arnav,Critical,Leave Stage 1,Manual Compass/shell or seed script.
STAGE 2 — LEAVEREQUEST MODEL,,,,,,,,,
Leave,DB,models/LeaveRequest.js,DB,"staff_id, date (UTC midnight), leave_type enum weekly_off|extra_leave|swapped_off, status pending|approved|rejected|cancelled, is_paid, swap_with_staff_id, reason, approved_by.",Not Started,Arnav,Critical,Leave Stage 2,
Leave,DB,Unique index {staff_id, date},DB,Mongo rejects second leave same staff same day.,Not Started,Arnav,Critical,Leave Stage 2,
Leave,DB,Index {date, status},DB,Supports clash queries and calendar list.,Not Started,Arnav,High,Leave Stage 2,
Leave,Test,Insert one LeaveRequest; duplicate fails,Test,Unique index confirmed in Compass/shell.,Not Started,Arnav,Critical,Leave Stage 2,
STAGE 3 — CLASH CHECKER,,,,,,,,,
Leave,Backend,services/leaveClashService.js — normalize(),Backend,Normalize dates to UTC midnight for comparisons.,Not Started,Arnav,Critical,Leave Stage 3,
Leave,Backend,checkClash({ staffId, date, excludeStaffId }),Backend,"1) blackout Fri/Sat/Sun → blocked; 2) same designation + approved leave same date → blocked; else allowed.",Not Started,Arnav,Critical,Leave Stage 3,excludeStaffId used only for swaps.
Leave,Test,Beautician clash on Tuesday,Test,Second Beautician same Tue → allowed:false; Stylist same Tue → true; any Sat → false.,Not Started,Arnav,Critical,Leave Stage 3,
STAGE 4 — DEDUCTION CALCULATOR,,,,,,,,,
Leave,Backend,getWeekStart(date) Mon–Sun week,Backend,UTC Monday start of calendar week.,Not Started,Arnav,Critical,Leave Stage 4,Add to leaveClashService.js.
Leave,Backend,calculateIsPaid({ staffId, date }),Backend,"Count approved leaves same staff same week; first → paid true; 2nd+ → false.",Not Started,Arnav,Critical,Leave Stage 4,
Leave,Test,2nd leave same week unpaid,Test,1 approved this week → 2nd date same week is_paid false; next week true.,Not Started,Arnav,Critical,Leave Stage 4,
STAGE 5 — LEAVE SWAP,,,,,,,,,
Leave,Backend,services/leaveSwapService.js — swapLeave(),Backend,"Check A→B date and B→A date via checkClash (with exclude); calculateIsPaid both; delete old; create swapped_off approved.",Not Started,Arnav,Critical,Leave Stage 5,No Mongo transaction in v1 — known gap.
Leave,Test,Valid swap Mon↔Wed same designation free,Test,success:true; both records swapped_off approved.,Not Started,Arnav,Critical,Leave Stage 5,
Leave,Test,Swap into blackout blocked,Test,Destination Fri/Sat/Sun → success:false; no writes.,Not Started,Arnav,Critical,Leave Stage 5,
Leave,Test,Swap into designation clash blocked,Test,Target date already has same designation off → fail; no partial write.,Not Started,Arnav,High,Leave Stage 5,
STAGE 6 — ATTENDANCE SYNC,,,,,,,,,
Leave,DB,Attendance.leave_request_id field,DB,ObjectId ref LeaveRequest; default null.,Not Started,Arnav,Critical,Leave Stage 6,Patch models/Attendance.js.
Leave,Backend,syncAttendanceForLeave(leaveRequest),Backend,"Upsert Attendance by staff_id+date; status on_leave; remarks Paid/Unpaid leave; set leave_request_id.",Not Started,Arnav,Critical,Leave Stage 6,Call on every approval (and after swap creates approved rows).
Leave,Test,Approve leave creates Attendance on_leave,Test,Attendance row exists with leave_request_id linked.,Not Started,Arnav,Critical,Leave Stage 6,
STAGE 7 — LEAVE API ROUTES,,,,,,,,,
Leave,Backend,routes/leaveRoutes.js created,Backend,New leave route module.,Not Started,Arnav,Critical,Leave Stage 7,
Leave,Backend,Mount leaveRoutes in preciousRoutes.js,Backend,Next to existing attendance routes per guide.,Not Started,Arnav,Critical,Leave Stage 7,
Leave,Backend,POST /api/leave/request,Backend,"Employee apply: checkClash + calculateIsPaid; save pending.",Not Started,Arnav,Critical,Leave Stage 7,
Leave,Backend,POST /api/leave/:id/approve,Backend,Manager approve → approved + syncAttendanceForLeave.,Not Started,Arnav,Critical,Leave Stage 7,
Leave,Backend,POST /api/leave/:id/reject,Backend,Manager reject → rejected; no Attendance write.,Not Started,Arnav,Critical,Leave Stage 7,
Leave,Backend,POST /api/leave/swap,Backend,Calls swapLeave(); both land approved; sync Attendance both sides.,Not Started,Arnav,Critical,Leave Stage 7,
Leave,Backend,GET /api/leave?staff_id=&month=,Backend,List leave for staff / calendar view.,Not Started,Arnav,High,Leave Stage 7,
Leave,Test,Postman full leave happy path,Test,Request → approve → Attendance on_leave; clash reject; swap ok.,Not Started,Arnav,Critical,Leave Stage 7,
